LocationAbbr,LocationDesc,MortalityPer100k
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,191.3
AK,Bethel,
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,
AK,Fairbanks North Star,
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,160
AK,Ketchikan Gateway,
AK,Kodiak Island,
AL,Blount County,385.8
AK,Lake and Peninsula,
AK,Matanuska-Susitna,136.3
AK,Nome,
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,191.3
AK,Bethel,
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,
AK,Fairbanks North Star,
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,160
AK,Ketchikan Gateway,
AK,Kodiak Island,
AK,Lake and Peninsula,
AK,Matanuska-Susitna,136.3
AK,Nome,
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,191.3
AK,Bethel,
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,
AK,Fairbanks North Star,
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,160
AK,Ketchikan Gateway,
AK,Kodiak Island,
AK,Lake and Peninsula,
AK,Matanuska-Susitna,136.3
AK,Nome,
AK,North Slope,
AK,Northwest Arctic,
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,
AK,Valdez-Cordova,
AK,Wade Hampton,
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,472.9
AK,Bethel,358.2
AK,Bristol Bay,
AK,Denali,323.1
AK,Dillingham,370.6
AK,Fairbanks North Star,348.5
AK,Haines,371.2
AK,Juneau,371.2
AK,Kenai Peninsula,434.6
AK,Ketchikan Gateway,
AK,Kodiak Island,440.4
AK,Lake and Peninsula,389.2
AK,Matanuska-Susitna,363.5
AK,Nome,380.4
AK,North Slope,349.2
AK,Northwest Arctic,374.8
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,326.7
AK,Valdez-Cordova,443.7
AK,Wade Hampton,383.5
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,348.3
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,800
AK,Bethel,514.4
AK,Bristol Bay,
AK,Denali,421.4
AK,Dillingham,440.7
AK,Fairbanks North Star,423.5
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,758.8
AK,Ketchikan Gateway,
AK,Kodiak Island,752.3
AK,Lake and Peninsula,594.4
AK,Matanuska-Susitna,581.6
AK,Nome,486.9
AK,North Slope,478.3
AK,Northwest Arctic,494
